All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Colonel Otis B. Duncan American Legion Post 809,120905895,Springfield,5,241836.38,218458.7,23377.68,81232,57854.17,23377.83,7013.45,5844.55,1168.9
"Colonial Pantry Holdings, LLC",121009300,Oakwood,5,491285.39,458839.05,32446.34,151478,119013.36,32464.64,9739.5,8116.25,1623.25
"Columbia Post No. 581, American Legion Department of Illinois",120912494,Columbia,4,95108.49,87281.45,7827.04,22860,15032.98,7827.02,2348.13,1956.78,391.35
Columbian Association of Breese,120713095,Breese,4,106618.26,101740.62,4877.64,39284,34406.57,4877.43,1463.19,1219.33,243.86
"Columbian Club of Carlyle, Illinois",120702203,Carlyle,4,173706.06,162519.8,11186.26,51166,39979.74,11186.26,3355.93,2796.61,559.32
Columbian Club of Lansing,120711529,Lansing,5,232732.91,214402.79,18330.12,83280,64949.88,18330.12,5499.07,4582.56,916.51
Columbian Club of Pinckneyville,140710728,Pinckneyville,4,188221.54,168682.47,19539.07,57310,37771.23,19538.77,5861.67,4884.73,976.94
Columbus Club of Decatur,120709294,Decatur,5,278426.67,260269.58,18157.09,93209,75051.91,18157.09,5447.21,4539.35,907.86
"Columbus Club of Millstadt, Illinois, Inc.",120705360,Millstadt,4,260951.28,243281.15,17670.13,73482,55811.87,17670.13,5301.07,4417.56,883.51
"COLUMBUS HOME ASSOCIATION OF QUINCY, INC.",150704467,Quincy,2,42405.3,39339.64,3065.66,13796,10730.3,3065.7,919.74,766.45,153.29
"Commodore Barry Post No. 256, Illinois Department of the American Legion",120713099,Berwyn,4,97631.53,88413.08,9218.45,29779,20560.55,9218.45,2765.58,2304.65,460.93
"Community Post #429, Lovington, Illinois",150904204,Moultrie County,3,31555.87,29874.06,1681.81,11807,10125.02,1681.98,504.6,420.5,84.1
Compton & Thorpe Incorporated,150700032,Venice,4,98940.26,88380.37,10559.89,35538,24977.9,10560.1,3168.05,2640.05,528
"CONCORDIA HALL, INC.",140703544,Staunton,5,90827.41,82879.17,7948.24,28930,20981.76,7948.24,2384.51,1987.1,397.41
"CONNIE'S & GIANNIS, INC.",130701991,Berwyn,5,260644.48,244052.99,16591.49,101961,85369.51,16591.49,4977.5,4147.92,829.58
"CONNOR'S CORNER PUB, INC.",160703897,Tallula,4,137308.22,126275.26,11032.96,48771,37738.08,11032.92,3309.91,2758.26,551.65
"CONRAD'S, LLC",120711912,Riverton,5,297477.98,269122.79,28355.19,86297,57941.81,28355.19,8506.59,7088.83,1417.76
"CONROC, INC.",120710710,Mokena,5,319767.77,295303.69,24464.08,85136,60671.77,24464.23,7339.3,6116.09,1223.21
"Consignments and More, Inc.",120711868,Kankakee,5,511313.37,473225.73,38087.64,168111,130023.16,38087.84,11426.42,9522.02,1904.4
COOL CAT L.L.C.,160701408,Belgium,5,401513.62,365182.19,36331.43,132450,96118.57,36331.43,10899.44,9082.87,1816.57
Copa's Incorporated,120707130,Round Lake,3,62657.2,56299.41,6357.79,22274,15916.21,6357.79,1907.37,1589.48,317.89
"COPPER TOP, INC.",120701411,Bloomington,5,353842.93,328759.92,25083.01,112260,87176.39,25083.61,7525.12,6270.94,1254.18
"Copperhead Tavern, Inc.",140702128,New Canton,5,190142.07,171927.76,18214.31,60979,42764.79,18214.21,5464.23,4553.53,910.7
"CORDIAL INN, INC.",120704494,Brookfield,5,666290.15,612777,53513.15,185996,132483.2,53512.8,16053.91,13378.26,2675.65
Corey Gillam,150702829,St. Clair County,3,68512.59,61311.13,7201.46,20100,12898.64,7201.36,2160.43,1800.36,360.07
Cork 'N Keg Inc.,120707302,Taylorville,5,224739.62,205595.56,19144.06,54548,35403.94,19144.06,5743.32,4786.1,957.22
Cork 'N Keg Inc.,120707407,Taylorville,4,82224.67,73749.75,8474.92,28572,20097.02,8474.98,2542.5,2118.75,423.75
"Corkscrew Pointe , Inc.",120700171,McHenry,5,327914.86,306441.51,21473.35,97906,76432.65,21473.35,6442.07,5368.39,1073.68
"CORN CRIB, INC.",140703485,Logan County,5,174131.02,158979.79,15151.23,52708,37556.72,15151.28,4545.4,3787.84,757.56
"Corn, Inc.",120710048,East Moline,5,185605.15,174240.33,11364.82,54827,43462.08,11364.92,3409.49,2841.24,568.25
"CORNER CLUBHOUSE BAR AND GRILL, INC.",150702265,Woodridge,5,354155.54,323058.58,31096.96,118977,87880.04,31096.96,9329.1,7774.25,1554.85
"Corner Connection, Inc.",120705655,Galesburg,4,205954.25,192412.61,13541.64,55205,41663.36,13541.64,4062.57,3385.47,677.1
Corner Enterprises Inc.,120704342,Stockton,5,195370.6,184333.64,11036.96,56847,45810.04,11036.96,3311.16,2759.3,551.86
"Corner Pub, Inc.",130700460,Roanoke,3,113296.34,103128.62,10167.72,32068,21900.28,10167.72,3050.34,2541.95,508.39
"CORNER SPOT, INC.",130702117,Hampshire,5,199130.17,181351.67,17778.5,69483,51704.5,17778.5,5333.66,4444.72,888.94
"Corninvestabulls, Inc",120702224,East Moline,5,200325.35,180462.71,19862.64,63319,43456.36,19862.64,5958.89,4965.74,993.15
"CORVETTE USA COOP, INC.",140702888,Crestwood,4,127630.21,113394.57,14235.64,44632,30396.26,14235.74,4270.74,3558.95,711.79
"CORY'S PUB & GRUB, INC.",140701299,Winslow,3,77967.09,71832.44,6134.65,26397,20262.1,6134.9,1840.52,1533.76,306.76
"Cottage Hills Memorial Post 7678, Veterans of Foreign Wars of The U.S.",120906177,Madison County,2,123631.96,116426.98,7204.98,28878,21673.02,7204.98,2161.51,1801.25,360.26
"Cottage Inn, Inc.",120706678,Sangamon County,5,176563.67,159735.59,16828.08,48079,31250.92,16828.08,5048.49,4207.08,841.41
"Coulterville Post No: 6865, Veterans of Foreign Wars of the U. S., Inc.",120904277,Randolph County,5,307566.12,285911.62,21654.5,91663,70008.5,21654.5,6496.43,5413.69,1082.74
"Country Club of Sparta, Illinois",120706465,Sparta,4,131372.23,120850.63,10521.6,37285,26763.4,10521.6,3156.56,2630.47,526.09
Country Kettle Inc.,120709656,Gibson City,5,276422.65,252855.75,23566.9,87532,63965.1,23566.9,7070.13,5891.77,1178.36
"Country Squire of Hudson, Inc.",120700455,Hudson,5,324153.04,296342.02,27811.02,91371,63559.94,27811.06,8343.4,6952.83,1390.57
COUNTRYSIDE RESTAURANT CORP.,160700410,Countryside,3,33592.14,30920.93,2671.21,11653,8981.36,2671.64,801.54,667.95,133.59
CountryStop Corporation,131001937,Kane County,5,488509.01,448181.67,40327.34,141368,101020.21,40347.79,12104.4,10087,2017.4
"County Line 37, Inc.",150702128,Chebanse,3,35889.71,31481.81,4407.9,12377,7969.12,4407.88,1322.38,1101.98,220.4
"County Line Smokehouse, Inc.",120705730,Pierron,4,117629.43,106892.9,10736.53,34854,24117.47,10736.53,3220.94,2684.12,536.82
"Coupe's Bar & Grill, Inc.",120706941,Lee,3,65511.39,60097.95,5413.44,22064,16650.58,5413.42,1624.04,1353.36,270.68
COURTHOUSE PUB INC.,130703487,Hillsboro,3,30311.35,29421.91,889.44,8888,7998.56,889.44,266.86,222.38,44.48
COURTRIGHT'S GUESTHOUSE INC.,160703602,Willow Springs,5,65464.15,58526.61,6937.54,18854,11916.46,6937.54,2081.33,1734.45,346.88
Cousin Eddies Incorporated,120710677,Springfield,5,700468.75,658144.35,42324.4,202528,160203.42,42324.58,12697.41,10581.17,2116.24
"Cousin Vinny's , LTD",130705131,Berwyn,4,72655.65,69874.57,2781.08,23420,20638.92,2781.08,834.39,695.33,139.06
"COW TIPPERS FRONT STREET TAP, INC.",120700530,Harvard,4,72726.62,69484.26,3242.36,28765,25521.76,3243.24,972.99,810.82,162.17
"Cox Post 4753, Veterans of Foreign Wars of the U.S., Inc. ",120913001,Sesser,4,69932.31,64543.39,5388.92,19346,13957.1,5388.9,1616.67,1347.23,269.44
"Coz's Pizza, Inc.",120706484,Springfield,5,327752.69,304660.61,23092.08,105105,82013.01,23091.99,6927.69,5773.08,1154.61
"Coz's Pizza, Inc.",160701026,Springfield,5,229938.54,213283.2,16655.34,78731,62075.61,16655.39,4996.71,4163.92,832.79
"Crabby's Pub, Incorporated",120701416,Stickney,5,344823.37,321564.74,23258.63,124104,100845.37,23258.63,6977.57,5814.64,1162.93
"Craden C235 W Broadway, Inc.",120704420,Bradley,4,189129.48,171788.33,17341.15,61659,44317.97,17341.03,5202.34,4335.29,867.05
"Craft Beer Bar, LLC",140702658,Springfield,3,37609.33,34067.39,3541.94,13846,10304.17,3541.83,1062.58,885.48,177.1
"Craig Genisio, Inc.",120700532,Woodhull,4,191937.84,177795.91,14141.93,49524,35382.17,14141.83,4242.58,3535.48,707.1
Craig Hagel,120711370,Prophetstown,5,237959.98,220672.67,17287.31,72275,55151.38,17123.62,5137.11,4280.93,856.18
"CRANE INVESTMENT HOLDINGS II, LLC",140704084,Addison,3,124084.41,114780.78,9303.63,34713,25409.25,9303.75,2791.14,2325.95,465.19
"CRANE INVESTMENT HOLDINGS II, LLC",140704071,West Dundee,3,22647.32,19662.6,2984.72,8165,5180.33,2984.67,895.42,746.18,149.24
Crawdaddys Inc.,120708301,Mount Olive,5,130989.78,119135.41,11854.37,32491,20636.63,11854.37,3556.32,2963.6,592.72
"CRAWFORD COUNTY POST 4549-VETERANS OF FOREIGN WARS OF THE UNITED STATES, IN",120901355,Robinson,5,412204.91,386408.35,25796.56,107657,81860.44,25796.56,7739.07,6449.23,1289.84
"Crawford Enterprises, Inc.",120704259,Pana,5,240852.67,223170.35,17682.32,73043,55360.68,17682.32,5304.72,4420.6,884.12
Crawford Post #1038 Kane American Legion,120908747,Kane,4,100651.05,91062.42,9588.63,32088,22499.21,9588.79,2876.63,2397.19,479.44
"Crawford's Pizza & Pub II, Inc.",150700920,Mount Zion,5,223497.16,204221.84,19275.32,72279,53003.73,19275.27,5782.61,4818.84,963.77
"Crawford's Pizza & Pub III, Inc.",160700917,Moweaqua,3,117866.34,105840,12026.34,32438,20411.72,12026.28,3607.95,3006.63,601.32
"CRAWFORD-HALE POST OF AMERICAN LEGION, NO. 95, INC.",120904628,Vandalia,5,138632.08,130556.82,8075.26,35025,26949.74,8075.26,2422.66,2018.88,403.78
"Crazy Times, Inc.",120701311,Machesney Park,5,520355.67,484681.34,35674.33,141422,105747.67,35674.33,10702.36,8918.64,1783.72
"Creal Springs Memorial Post No 9763, Veterans of Foreign Wars of the United States, Inc.",120910087,Williamson County,4,101960.75,94108.05,7852.7,27124,19271.3,7852.7,2355.84,1963.2,392.64
"Crescent Lounge, Inc.",120706984,Streator,5,219560.89,207520.2,12040.69,73778,61737.31,12040.69,3612.24,3010.2,602.04
"Crescent Lounge, Inc.",150700958,Streator,5,262560.2,242476.5,20083.7,73469,53385.3,20083.7,6025.18,5020.98,1004.2
"Crest Hill Lanes and Pub, Inc.",120702179,Crest Hill,4,201854.23,184876.71,16977.52,66629,49651.48,16977.52,5093.31,4244.43,848.88
CROATIAN CULTURAL CLUB,140700170,Joliet,4,138931.06,131467.91,7463.15,47318,39854.81,7463.19,2238.97,1865.81,373.16
"CROOKED LAKE RESORT, INC.",130705480,Lake County,3,2474.54,2164.04,310.5,701,390.5,310.5,93.16,77.64,15.52
CROSS COUNTRY QCA INC.,120700423,Coal Valley,4,121860.03,107044.92,14815.11,37957,23142,14815,4444.54,3703.79,740.75
Crossroads in Ivanhoe LLC,140704093,Lake County,5,493723.21,447837.45,45885.76,155245,109359.24,45885.76,13765.77,11471.48,2294.29
"Crossroads Package Liquor & Bar, Inc.",120708854,Sandoval,5,181782.84,161796.03,19986.81,59643,39656.19,19986.81,5996.04,4996.7,999.34
"CROSSROADS TOO, INC.",120708092,Wood Dale,5,373890.74,339747.21,34143.53,121828,87684.37,34143.63,10243.15,8535.96,1707.19
"CROSSTOWN MANAGEMENT, INC.",160701334,Crystal Lake,3,137819.6,121274.95,16544.65,50276,33731.4,16544.6,4963.39,4136.16,827.23
"CROSSTOWN PUB BATAVIA, INC.",160703972,Batavia,5,7309.17,7008.14,301.03,2468,2166.97,301.03,90.31,75.26,15.05
"CROW'S NEST BAR, INC.",120707824,Peoria,3,111850.03,103864.41,7985.62,35371,27385.38,7985.62,2395.7,1996.42,399.28
"CROWN MART 12, INCORPORATED",140700639,Centreville,5,643194.85,591515.34,51679.51,206976,155311.63,51664.37,15499.38,12916.15,2583.23
"Crown Pointe Amusement, LLC",130701893,Elwood,5,192236.67,180962.65,11274.02,60923,49648.98,11274.02,3382.27,2818.56,563.71
"Crown Pointe Amusement, LLC",130703363,Minooka,5,187544.38,173152.5,14391.88,60004,45612.12,14391.88,4317.58,3597.98,719.6
"Crown Pointe Amusement, LLC",130704272,Yorkville,5,396120.65,363081.56,33039.09,106177,73137.91,33039.09,9911.8,8259.84,1651.96
"Crown Pointe Amusement, LLC",150702681,Yorkville,5,405638.58,368348.78,37289.8,139733,102443.2,37289.8,11186.99,9322.49,1864.5
"CRS VENTURES, LLC",120704951,Champaign,5,268093.82,245174.88,22918.94,72431,49511.88,22919.12,6875.78,5729.81,1145.97
"Crusen & Klein, Inc.",130704824,West Peoria,5,275362.17,252550.55,22811.62,101422,78610.38,22811.62,6843.55,5702.96,1140.59
"Crusen & Klein, Inc.",130704825,Peoria,5,317054.2,288130.6,28923.6,106811,77887.4,28923.6,8677.06,7230.88,1446.18
"Cryst, Inc.",140701599,Matteson,3,59177.87,51249.32,7928.55,22359,14430.45,7928.55,2378.6,1982.17,396.43
"CRYSTAL BOWL, INC.",130702681,McHenry County,3,95844.58,87698.66,8145.92,32039,23893.1,8145.9,2443.78,2036.48,407.3
Crystal Cuisine Inc.,140701953,Island Lake,5,217997.89,202445.18,15552.71,71992,56439.29,15552.71,4665.89,3888.24,777.65
"CSK Ventures, Inc.",130706587,Canton,5,43242.47,40393.84,2848.63,15456,12628.09,2827.91,848.37,706.97,141.4
"CSP ENTERTAINMENT, INC.",140703190,McHenry County,5,332135.9,303438.66,28697.24,116646,87948.81,28697.19,8609.17,7174.31,1434.86
"CTC Partners, LLC",120707930,Towanda,5,239315.89,224232.59,15083.3,62996,47912.7,15083.3,4525.02,3770.85,754.17
"Cub & Spank's, Inc. ",120700208,Sycamore,5,306412.83,279465.48,26947.35,101657,74709.4,26947.6,8084.39,6736.99,1347.4
"Cuda's, LLC",140702212,Lake County,5,176194.43,166564.67,9629.76,57070,47440.24,9629.76,2888.97,2407.47,481.5
CueWorks Inc.,120700163,East Peoria,5,75166.44,69968.04,5198.4,20504,15305.6,5198.4,1559.53,1299.61,259.92
Cuhlife LLC Spring Grove,160700896,Spring Grove,5,412361.67,371214.21,41147.46,146226,105078.54,41147.46,12344.31,10286.92,2057.39
Cuhlife LLC Woodstock,160700897,Woodstock,5,521457.17,482735.07,38722.1,164237,125514.9,38722.1,11616.67,9680.56,1936.11
"Cullen's Pub, Ltd.",120701259,Oak Lawn,5,210349.58,194568.88,15780.7,82673,66892.3,15780.7,4734.29,3945.24,789.05
"Cumberland County Post No. 4598, Veterans of Foreign Wars of the United States, Inc.",130900227,Greenup,5,132733.74,122204.02,10529.72,43411,32881.25,10529.75,3158.94,2632.45,526.49
CURRAN CROSSROADS INC.,150702989,Curran,5,173370.18,165994.32,7375.86,46833,39456.59,7376.41,2212.97,1844.14,368.83
Curtis G Redden Legion Post No. 210,120904254,Danville,4,106225.02,95492.43,10732.59,37044,26311.41,10732.59,3219.78,2683.15,536.63
Curve - Inn II Inc.,140700987,Buncombe,5,433586.05,409032.73,24553.32,120857,96303.68,24553.32,7366.02,6138.35,1227.67
"Cutter's Goose, Inc.",120701369,Belleville,5,247419.66,223572.15,23847.51,75977,52129.71,23847.29,7154.18,5961.82,1192.36
Cutter326 Inc. ,120700524,Countryside,5,391565.62,357217.29,34348.33,104123,69774.67,34348.33,10304.58,8587.15,1717.43
CWJS LLC,120705356,Orion,4,169693.04,154155.05,15537.99,51990,36452.01,15537.99,4661.44,3884.53,776.91
CYNTHIA BURNETT,120708132,La Salle County,5,166389.79,152759.3,13630.49,57108,43477.41,13630.59,4089.27,3407.72,681.55
Cynthia Elliott,120712292,Hanna City,3,119469.21,112929.04,6540.17,35245,28704.83,6540.17,1962.05,1635.04,327.01
CYNTHIA L. MASON ,120709523,Ridge Farm,4,165854.84,153869.66,11985.18,51639,39653.76,11985.24,3595.55,2996.3,599.25
Cynthia Marie Grant,160701390,Petersburg,3,28341.5,25308.45,3033.05,9340,6306.75,3033.25,909.95,758.29,151.66
Cynthia Simpson,120707115,La Salle County,3,118952.96,111245.01,7707.95,43364,35656.05,7707.95,2312.35,1926.96,385.39
"Cypress Tavern, Inc.",120710597,Kankakee,5,276970.53,254683.57,22286.96,105579,83292.04,22286.96,6686.18,5571.82,1114.36
"Cypress, Incorporated",120702331,Cypress,4,116982.86,107708.85,9274.01,28227,18952.99,9274.01,2782.3,2318.59,463.71
"CYPRUS LONG BAR, INC.",120705285,Blue Island,5,321297.32,299196.5,22100.82,113356,91255.18,22100.82,6630.28,5525.24,1105.04
"D & D's Lake Street Tap, Inc.",120708131,Kewanee,5,158756.73,148794.75,9961.98,58654,48692.02,9961.98,2988.59,2490.49,498.1
"D & D's Tap, Inc.",120700541,Posen,5,172194.76,157707.74,14487.02,67687,53199.98,14487.02,4346.2,3621.84,724.36
"D & E MCCULLOUGH, INC.",120706730,Rankin,3,122736.92,109016.53,13720.39,43656,29935.96,13720.04,4116.02,3430.01,686.01
"D & E McCullough, INC.",140700782,Watseka,5,332444.1,309935.04,22509.06,115244,92734.94,22509.06,6752.77,5627.31,1125.46
"D & K ENTERPRISES, INC.",140703517,Camp Point,3,36450.43,33112.1,3338.33,8378,5039.67,3338.33,1001.52,834.6,166.92
D & M Bar & Grill Inc.,120707833,Bellevue,4,185437.18,175025.24,10411.94,54682,44270.06,10411.94,3123.67,2603.06,520.61
"D and D Tiki, Inc.",160702473,West Peoria,4,79752.2,71824.58,7927.62,28714,20786.38,7927.62,2378.29,1981.91,396.38
"D E M & N, INC.",140704161,Payson,3,117625.27,109327.69,8297.58,32889,24591.42,8297.58,2489.26,2074.39,414.87
"D G & L, Incorporated",120704750,Ashley,5,217101.21,197870.53,19230.68,68966,49735.42,19230.58,5769.16,4807.63,961.53
"D G Concepts, Inc.",130702508,Kendall County,5,122494.72,113172.67,9322.05,35263,25940.95,9322.05,2796.68,2330.57,466.11
"D HANGOUT BAR AND GRILL, INC.",130706548,Elgin,5,287464.84,261340.2,26124.64,101799,75674.53,26124.47,7837.4,6531.17,1306.23
D&A Company,140700940,Lake County,5,645401.53,595854.38,49547.15,193236,143688.85,49547.15,14864.24,12386.87,2477.37
"D&A GAMING, INC.",160702079,Berwyn,5,194116.17,176383.14,17733.03,65489,47756.06,17732.94,5319.88,4433.24,886.64
"D&T Wedge, INC.",130704130,Godfrey,5,261185.51,240669.23,20516.28,74556,54039.72,20516.28,6154.88,5129.07,1025.81
"D'Agostino's Pizzeria Wheeling, Inc.",130706320,Wheeling,5,213797.39,200118.53,13678.86,61587,47908.14,13678.86,4103.69,3419.74,683.95
"D'AGOSTINOS RIVER GROVE, INC.",140702042,River Grove,5,626596.19,574869.62,51726.57,187423,135696.68,51726.32,15517.95,12931.63,2586.32
D's Bistro Inc.,150703257,Robbins,5,337439.03,312562.74,24876.29,121883,97006.71,24876.29,7462.91,6219.1,1243.81
"D'VINE WINE CRAFTERS, LLC",160703700,Algonquin,4,18811.95,15759.8,3052.15,7685,4632.84,3052.16,915.67,763.06,152.61
"D-K Properties, Inc.",120705980,Sadorus,4,175198.36,155222.52,19975.84,57831,37855.45,19975.55,5992.71,4993.93,998.78
"D. & T. Wright, Inc.",120702043,Vermilion County,5,375459.18,340629.54,34829.64,109752,74922.36,34829.64,10448.89,8707.41,1741.48
"D. J.'S SPORTS BAR, INC.",130700291,Westmont,5,484921.54,458171.63,26749.91,116049,89299.09,26749.91,8025.04,6687.54,1337.5
"D. Laneys, INC.",130704360,Lake County,5,195776.3,181104.99,14671.31,63445,48773.74,14671.26,4401.41,3667.84,733.57
D.D. ENTERPRISES I LLC,120702242,Mattoon,5,316036.66,291676.1,24360.56,95167,70806.6,24360.4,7308.1,6090.09,1218.01
"D.D.'s, Inc.",120700209,Lawrence County,5,499208.87,461413.51,37795.36,147387,109598.71,37788.29,11336.58,9447.15,1889.43
"D.E.B., INC.",120711481,Matteson,5,366346.06,342087.4,24258.66,128491,104232.34,24258.66,7277.69,6064.74,1212.95
"D.H. Brown, Inc.",120706285,Springfield,4,64053.11,58900.64,5152.47,22066,16913.18,5152.82,1545.83,1288.19,257.64
D.I.P. Restaurants LLC,140702619,Collinsville,4,136757.6,127349.78,9407.82,43966,34558.08,9407.92,2822.37,2351.98,470.39
"D.I.R., INC.",120712598,Christian County,3,34195.89,32056.68,2139.21,13232,11092.64,2139.36,641.82,534.85,106.97
D.Q.R. Enterprises Inc,120708986,Athens,5,238000.93,226436.2,11564.73,68900,57335.02,11564.98,3469.51,2891.26,578.25
"D.R.D. Bar & Eatery, Inc.",120705116,Gilberts,5,324067.08,297198.02,26869.06,99097,72227.94,26869.06,8060.8,6717.34,1343.46
"D.R.G. Enterprises, Inc.",120704954,Galesburg,5,204302.04,186433.86,17868.18,69164,51295.82,17868.18,5360.45,4467.04,893.41
"D.W.P., Inc.",120700308,Midlothian,5,182252.58,165341.42,16911.16,58221,41309.7,16911.3,5073.48,4227.9,845.58
"D2G Holdings, LLC",150701149,Quincy,2,25924.15,26456.1,-531.95,6855,7386.95,-531.95,-159.59,-132.99,-26.6
"Da Burgs Bar Grill, Inc.",120701308,Warrensburg,5,219523.52,202408.86,17114.66,62090,44975.55,17114.45,5134.38,4278.65,855.73
"DA-PLACE RS, INC.",120705975,Rochelle,5,196569.02,175695.33,20873.69,57232,36358.31,20873.69,6262.11,5218.43,1043.68
"DABAR, INC.",120703716,Amboy,5,276066.64,250030.98,26035.66,76283,50247.34,26035.66,7810.76,6508.97,1301.79
"DAHM & SCHELL, INC.",140702668,Belleville,5,325526.25,303739.35,21786.9,95733,73946.07,21786.93,6536.13,5446.78,1089.35
"Dakota One, LLC",130701681,Joliet,5,582497.78,534604.67,47893.11,168021,120127.89,47893.11,14367.96,11973.3,2394.66
"Dale & Jackie's Discount Liquors, Inc.",120707316,Decatur,5,505101.13,460739.39,44361.74,162200,117838.41,44361.59,13308.51,11090.43,2218.08
"Dale Marshall, Inc.",120703322,Windsor (Mercer),2,37908.13,33980.09,3928.04,10497,6569.22,3927.78,1178.35,981.96,196.39
Dalexmeri Inc.,140701559,Oswego,3,49168.1,43624.44,5543.66,16224,10680.34,5543.66,1663.15,1385.96,277.19
Daly Sports Bar Inc.,140702310,Philo,5,255207.94,241038.37,14169.57,81617,67447.51,14169.49,4250.88,3542.4,708.48
Damaschke International Inc.,150703775,Summit,5,705152.03,639656.72,65495.31,225515,160019.69,65495.31,19648.61,16373.84,3274.77
"DAMASCHKE INTERNATIONAL, INC.",160700240,Bridgeview,5,841199.06,765127.63,76071.43,269705,193633.57,76071.43,22821.5,19017.92,3803.58
"DAN ""D"" JAC'S, INC.",120701219,Orland Hills,5,848484.61,791931.99,56552.62,232256,175702.63,56553.37,16966.09,14138.41,2827.68
Dan W Sauter,130701687,Woodhull,4,178135.91,161459.72,16676.19,57860,41181.5,16678.5,5003.6,4169.67,833.93
Dangi Limited,120707139,Pekin,5,262174.29,242696.49,19477.8,81083,61605.21,19477.79,5843.38,4869.49,973.89
Dangles Corporation,120701450,Blue Island,5,323026.23,299888.96,23137.27,100884,77746.73,23137.27,6941.21,5784.35,1156.86
Daniel G. & Elaine M. Rentz,120700243,Odell,4,185062.93,172786.94,12275.99,57184,44907.6,12276.4,3683.03,3069.2,613.83
